time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-03 07:00,6643.237,8975.224,1001.465,2278.520
2023-09-03 07:15,6643.291,8975.224,1001.465,2278.520
2023-09-03 07:30,6643.347,8975.224,1001.465,2278.520
2023-09-03 07:45,6643.500,8975.224,1001.465,2278.520
2023-09-03 08:00,6643.527,8975.224,1001.465,2278.520
2023-09-03 08:15,6643.538,8975.224,1001.468,2278.520
2023-09-03 08:30,6643.579,8975.224,1001.511,2278.520
2023-09-03 08:45,6643.579,8975.224,1001.542,2278.520
2023-09-03 09:00,6643.579,8975.224,1001.593,2278.520
2023-09-03 09:15,6643.579,8975.224,1001.681,2278.520
2023-09-03 09:30,6643.579,8975.224,1001.784,2278.520
2023-09-03 09:45,6643.579,8975.224,1001.977,2278.520
2023-09-03 10:00,6643.579,8975.224,1002.158,2278.520
2023-09-03 10:15,6643.579,8975.224,1002.382,2278.520
2023-09-03 10:30,6643.579,8975.224,1002.679,2278.520
2023-09-03 10:45,6643.579,8975.224,1002.989,2278.520
2023-09-03 11:00,6643.579,8975.224,1003.255,2278.520
2023-09-03 11:15,6643.579,8975.224,1003.593,2278.520
2023-09-03 11:30,6643.579,8975.224,1003.948,2278.520
2023-09-03 11:45,6643.579,8975.224,1004.284,2278.520
2023-09-03 12:00,6643.611,8975.224,1004.506,2278.520
2023-09-03 12:15,6643.611,8975.224,1004.794,2278.520
2023-09-03 12:30,6643.613,8975.224,1005.060,2278.520
2023-09-03 12:45,6643.778,8975.224,1005.146,2278.520
2023-09-03 13:00,6643.958,8975.224,1005.226,2278.520
2023-09-03 13:15,6644.083,8975.224,1005.329,2278.520
2023-09-03 13:30,6644.746,8975.224,1005.343,2278.520
2023-09-03 13:45,6644.843,8975.224,1005.456,2278.520
2023-09-03 14:00,6644.843,8975.224,1005.609,2278.520
2023-09-03 14:15,6644.843,8975.224,1005.792,2278.520
2023-09-03 14:30,6644.843,8975.224,1005.959,2278.520
2023-09-03 14:45,6644.843,8975.224,1006.101,2278.520
2023-09-03 15:00,6644.843,8975.224,1006.215,2278.520
2023-09-03 15:15,6644.966,8975.224,1006.293,2278.520
2023-09-03 15:30,6644.966,8975.224,1006.339,2278.520
2023-09-03 15:45,6644.993,8975.224,1006.439,2278.520
2023-09-03 16:00,6644.993,8975.224,1006.576,2278.520
2023-09-03 16:15,6644.993,8975.224,1006.715,2278.520
2023-09-03 16:30,6644.993,8975.224,1006.803,2278.520
2023-09-03 16:45,6644.998,8975.224,1006.814,2278.520
2023-09-03 17:00,6645.041,8975.224,1006.814,2278.520
2023-09-03 17:15,6645.107,8975.224,1006.820,2278.520
2023-09-03 17:30,6645.186,8975.224,1006.827,2278.520
2023-09-03 17:45,6645.282,8975.224,1006.835,2278.520
2023-09-03 18:00,6645.282,8975.224,1006.884,2278.520
2023-09-03 18:15,6645.598,8975.224,1006.894,2278.520
2023-09-03 18:30,6646.122,8975.224,1006.894,2278.520
